Address,lat,long
"The Palisade Plan, Senderos Creek: The Town Collection, Parker, CO 80134",39.511777,39.511777
"Telluride (Residence 39103) Plan, Anthology, Parker, CO 80134",37.9374939,37.9374939
"Morrison Plan, Alder Village, Parker, CO 80134",39.5541954,39.5541954
"Delaney Plan, Reata Ridge, Parker, CO 80134",39.4799961,39.4799961
"Andrea Plan, Ridgeline At Meridian Village, Parker, CO 80134",39.5175575,39.5175575
"5811 Regal Oak Ln, Parker, CO 80134",39.4464801,39.4464801
"Hopewell Plan, Stone Creek Ranch, Parker, CO 80134",39.448653,39.448653
"Lincoln (Residence 49203) Plan, Anthology, Parker, CO 80134",42.2085364,42.2085364
"15705 Savory Cir, Parker, CO 80134",39.5089356,39.5089356
"Residence Two Plan, The Timbers At The Pinery By Berkeley Homes, Parker, CO 80134",39.4429209,39.4429209
"Residence 3a Plan, The Trails At Westcreek, Parker, CO 80134",39.5473702,39.5473702
"12766 Ironstone Way Apt 203, Parker, CO 80134",39.4832406,39.4832406
"European Hillside Umbria Plan, Pradera, Parker, CO 80134",42.938004,42.938004
"Plan 1747 Plan, Stone Creek Ranch, Parker, CO 80134",39.449041,39.449041
"11979 S Copper Creek Cir, Parker, CO 80134",39.4994206,39.4994206
"9283 Twenty Mile Rd Unit 406, Parker, CO 80134",39.5487598,39.5487598
"9283 Twenty Mile Rd Unit 403, Parker, CO 80134",39.5487598,39.5487598
"9283 Twenty Mile Rd Unit 401, Parker, CO 80134",39.5487598,39.5487598
"Spruce Plan, Luxury Townhomes At Pine Bluffs, Parker, CO 80134",39.493699,39.493699
"14044 Touchstone Point, Parker, CO 80134",39.5175265,39.5175265
"9283 Twenty Mile Rd Unit 302, Parker, CO 80134",39.5487598,39.5487598
"Signature Series Plan Two Plan, Pradera, Parker, CO 80134",39.4438618,39.4438618
"10040 Quarry Hill Pl, Parker, CO 80134",39.53362,39.53362
"Hopewell Plan, Ridgeline At Meridian Village, Parker, CO 80134",39.5175575,39.5175575
"Ashbrook Plan, Sierra Ridge : The Monarch Collection, Parker, CO 80134",39.5336692,39.5336692
"11388 Iron Ore Ct, Parker, CO 80134",39.5094383,39.5094383
"10535 Cottoneaster Way, Parker, CO 80134",39.5249968,39.5249968
"Arlington Plan, Stone Creek Ranch, Parker, CO 80134",39.4496855,39.4496855
"9012 Birch Run Dr, Parker, CO 80134",39.5543245,39.5543245
"Avon (Residence 39205) Plan, Anthology, Parker, CO 80134",32.3503996,32.3503996
"Signature Series Plan Three Plan, Pradera, Parker, CO 80134",39.4438618,39.4438618
"The Waterton Plan, Senderos Creek: The Canyon Collection, Parker, CO 80134",39.509896,39.509896
"Birch (Residence 34203) Plan, Anthology, Parker, CO 80134",27.4481958,27.4481958
"Decker Plan, Stone Creek Ranch, Parker, CO 80134",39.448653,39.448653
"Hawthorn (Residence 34205) Plan, Anthology, Parker, CO 80134",39.4831857,39.4831857
"The Platte Plan, Senderos Creek: The Canyon Collection, Parker, CO 80134",39.509896,39.509896
"Glenwood Plan, Stone Creek Ranch, Parker, CO 80134",39.448653,39.448653
"11079 Random Valley Cir, Parker, CO 80134",39.430137,39.430137
"Plan 1942 Plan, Stone Creek Ranch, Parker, CO 80134",39.449041,39.449041
"Monroe Plan, Timbers At The Pinery, Parker, CO 80134",39.4429209,39.4429209
"Plan 2193 Plan, Stone Creek Ranch, Parker, CO 80134",39.448653,39.448653
"7677 Hillgate Way, Parker, CO 80134",39.4635043,39.4635043
"Torreys (Residence 49202) Plan, Anthology, Parker, CO 80134",39.48357,39.48357
"Chelton Plan, Sierra Ridge : The Monarch Collection, Parker, CO 80134",39.5336692,39.5336692
"Delaney Plan, Stone Creek Ranch, Parker, CO 80134",39.448653,39.448653
"Juniper (Residence 34202) Plan, Anthology, Parker, CO 80134",27.4011673,27.4011673
"16048 Alberta Dr, Parker, CO 80134",39.5488598,39.5488598
"12260 Red Monterey Ct, Parker, CO 80134",39.493699,39.493699
"16037 Ledge Rock Dr, Parker, CO 80134",39.5360639,39.5360639
"17265 E Cranesbill St, Parker, CO 80134",39.5409108,39.5409108
"13775 Tall Oaks Loop, Parker, CO 80134",39.5315067,39.5315067
"14600 Haflinger Ave, Parker, CO 80134",39.5005395,39.5005395
