Street Address,Lat,Lng
10040 Quarry Hill Pl,39.53362,-104.8107615
"Hopewell Plan, Ridgeline at Meridian Village",39.5175575,-104.8165243
"Ashbrook Plan, Sierra Ridge : The Monarch Collection",39.5336692,-104.8195157
11388 Iron Ore Ct,39.5094383,-104.7848907
10535 Cottoneaster Way,39.5249968,-104.8077524
"Arlington Plan, Stone Creek Ranch",39.44968550000001,-104.7603933
9012 Birch Run Dr,39.5543245,-104.803948
"Avon (Residence 39205) Plan, Anthology",32.3503996,-90.1529468
"Signature Series Plan Three Plan, Pradera",39.4438618,-104.8014983
"The Waterton Plan, Senderos Creek: The Canyon Collection",39.509896,-104.785659
"Birch (Residence 34203) Plan, Anthology",27.4481958,-82.5131717
"Decker Plan, Stone Creek Ranch",39.448653,-104.7625671
"Hawthorn (Residence 34205) Plan, Anthology",39.4831857,-104.7836751
"The Platte Plan, Senderos Creek: The Canyon Collection",39.509896,-104.785659
"Glenwood Plan, Stone Creek Ranch",39.448653,-104.7625671
11079 Random Valley Cir,39.43013699999999,-104.67852
"Plan 1942 Plan, Stone Creek Ranch",39.449041,-104.771257
"Monroe Plan, Timbers at the Pinery",39.4429209,-104.707283
"Plan 2193 Plan, Stone Creek Ranch",39.448653,-104.7625671
7677 Hillgate Way,39.4635043,-104.7435486
"Torreys (Residence 49202) Plan, Anthology",39.48357,-104.7798067
"Chelton Plan, Sierra Ridge : The Monarch Collection",39.5336692,-104.8195157
"Delaney Plan, Stone Creek Ranch",39.448653,-104.7625671
"Juniper (Residence 34202) Plan, Anthology",27.4011673,-82.3994214
16048 Alberta Dr,39.5488598,-104.8044946
12260 Red Monterey Ct,39.493699,-104.753957
16037 Ledge Rock Dr,39.53606389999999,-104.8033528
17265 E Cranesbill St,39.5409108,-104.7894481
13775 Tall Oaks Loop,39.5315067,-104.8293609
14600 Haflinger Ave,39.5005395,-104.8205416
"Humboldt (Residence 49101) Plan, Anthology",40.7450055,-123.8695086
15438 Coopers Hawk Way,39.5648292,-104.8095517
12246 Blue Fir Ct,39.4935339,-104.755319
"Dillon Plan, Stone Creek Ranch",39.448653,-104.7625671
5241 Raintree Cir,39.445935,-104.7926164
12560 Bradford Dr,39.5320889,-104.8432274
"Avril Plan, Ridgeline at Meridian Village",39.5175575,-104.8165243
12863 Capital Creek St,39.4813559,-104.7753623
"Silverthorne (Residence 39206) Plan, Anthology",39.6296191,-106.0712941
13620 Crane Ct,41.6032207,-73.087749
13630 Crane Ct,41.6032207,-73.087749
13640 Crane Ct,41.6032207,-73.087749
13641 Crane Ct,41.6032207,-73.087749
13631 Crane Ct,41.6032207,-73.087749
13621 Crane Ct,41.6032207,-73.087749
11400 Iron Ore Ct,39.5092721,-104.7848903
17699 Bluetrail Ave,39.5092717,-104.7844494
17691 Bluetrail Ave,39.5092717,-104.7844494
10647 Apishamore Ct,39.5210306,-104.7982467
"Bierstadt (Residence 49205) Plan, Anthology",39.5827653,-105.6686151
17193 Opal Hill Dr,39.5315054,-104.7898812
6373 Ponderosa Way,39.4509108,-104.7155006
12950 S Molly Ct,39.4810395,-104.7658813
17353 Wilde Ave UNIT 305,39.5494439,-104.7886169
6307 Saddle Bow Ave,39.4490599,-104.7710477
"Pine (Residence 34204) Plan, Anthology",27.4461959,-82.5095297
20272 Terrace View Dr,39.4809935,-104.7542249
6327 Old Divide Trl,39.4411762,-104.7688213
10043 Concordia St,39.53396499999999,-104.8154121
5982 Shavano Pl,39.4492323,-104.7163891
12234 Foxtail Pine Ct BUILDING 8,39.494159,-104.754733
12243 Coral Burst Ln,39.49474439999999,-104.7811764
5798 Hidden Oaks Way,39.445861,-104.715651
"Seth Plan, Ridgeline at Meridian Village",39.5175575,-104.8165243
"Hanford Plan, Timbers at the Pinery",39.4429209,-104.707283
14956 Vienna Cir,39.524628,-104.816028
5107 Red Oak Way,39.4365184,-104.7517065
17489 Springfield Dr,39.51505,-104.788222
"Dillon II Plan, Stone Creek Ranch",39.448653,-104.7625671
"Evans (Residence 49201) Plan, Anthology",42.3151209,-84.375233
4999 Caballo Pl,39.446851,-104.7937861
16523 High Desert Pl,39.505903,-104.7990217
10578 Stonemeadow Dr,39.523254,-104.80768
17835 E Cloudberry Dr,39.5411467,-104.7827469
10812 Milliken St,39.520444,-104.790629
8898 Brompton Way,39.555041,-104.77869
12342 S Nate Cir,39.4927637,-104.7645595
17551 Springfield Dr,38.147543,-85.816554
17464 Springfield Ln,39.5130487,-104.7889771
13060 Norway Maple St,39.4793894,-104.7647191
10022 Bristleridge St,39.534485,-104.8228215
17525 Wilde Ave UNIT 308,39.549525,-104.7863382
17933 Coral Burst St,39.4966773,-104.7816985
"European Hillside Turin Plan, Pradera",45.0703393,7.686864
9311 Amison Cir APT 102,39.5477874,-104.8010217
11207 Jordan Ct,39.5172767,-104.79289
18611 Stroh Rd UNIT 5303,39.4794213,-104.7737075
4954 Carefree Trl,39.4316675,-104.7951694
18660 Horse Creek St,39.4818023,-104.7743595
7959 Forest Keep Cir,39.4801299,-104.7283506
14899 Pepper Pike Pl,39.5185877,-104.8151598
5580 Sunridge Dr,39.4426143,-104.7049032
