House status,Name,Price,Street Address,Locality,Region,PostalCode,Size,Href
House for sale,"1785 Morningview Ln, Castle Rock, CO 80109","$465,000 ",1785 Morningview Ln,Castle Rock,CO,80109,"3,696",https://www.zillow.com/homedetails/1785-Morningview-Ln-Castle-Rock-CO-80109/82031700_zpid/
Townhouse for sale,"3937 Pecos Trl, Castle Rock, CO 80109","$344,000 ",3937 Pecos Trl,Castle Rock,CO,80109,"1,409",https://www.zillow.com/homedetails/3937-Pecos-Trl-Castle-Rock-CO-80109/67453398_zpid/
New construction,"Daniel Plan, Blacktail At The Meadows, Castle Rock, CO 80109","$570,950 ","Daniel Plan, Blacktail at The Meadows",Castle Rock,CO,80109,"2,320",https://www.zillow.com/community/blacktail-at-meadows/2078677074_zpid/
House for sale,"3725 Wonder Dr, Castle Rock, CO 80109","$450,000 ",3725 Wonder Dr,Castle Rock,CO,80109,"1,913",https://www.zillow.com/homedetails/3725-Wonder-Dr-Castle-Rock-CO-80109/62810323_zpid/
New construction,"Devoe Plan, Cityscapes At The Meadows, Castle Rock, CO 80109","$452,950 ","Devoe Plan, Cityscapes at The Meadows",Castle Rock,CO,80109,"1,800",https://www.zillow.com/community/cityscapes-at-meadows/2078677130_zpid/
House for sale,"3595 Evening Pl, Castle Rock, CO 80109","$550,000 ",3595 Evening Pl,Castle Rock,CO,80109,"3,215",https://www.zillow.com/homedetails/3595-Evening-Pl-Castle-Rock-CO-80109/245221137_zpid/
House for sale,"3331 Starry Night Loop, Castle Rock, CO 80109","$495,000 ",3331 Starry Night Loop,Castle Rock,CO,80109,"3,203",https://www.zillow.com/homedetails/3331-Starry-Night-Loop-Castle-Rock-CO-80109/98970183_zpid/
House for sale,"2702 Rising Moon Way, Castle Rock, CO 80109","$750,000 ",2702 Rising Moon Way,Castle Rock,CO,80109,"5,754",https://www.zillow.com/homedetails/2702-Rising-Moon-Way-Castle-Rock-CO-80109/121237015_zpid/
New construction,"Dayton Plan, Blacktail At The Meadows, Castle Rock, CO 80109","$655,950 ","Dayton Plan, Blacktail at The Meadows",Castle Rock,CO,80109,"3,950",https://www.zillow.com/community/blacktail-at-meadows/2078677069_zpid/
House for sale,"2207 Jute Ln, Castle Rock, CO 80109","$579,900 ",2207 Jute Ln,Castle Rock,CO,80109,"3,140",https://www.zillow.com/homedetails/2207-Jute-Ln-Castle-Rock-CO-80109/52461884_zpid/
House for sale,"1674 Bent Grass Cir, Castle Rock, CO 80109","$590,000 ",1674 Bent Grass Cir,Castle Rock,CO,80109,"3,439",https://www.zillow.com/homedetails/1674-Bent-Grass-Cir-Castle-Rock-CO-80109/13490311_zpid/
House for sale,"1335 Freedom Way, Castle Rock, CO 80109","$769,000 ",1335 Freedom Way,Castle Rock,CO,80109,"4,482",https://www.zillow.com/homedetails/1335-Freedom-Way-Castle-Rock-CO-80109/95278473_zpid/
House for sale,"1696 Odyssey Ct, Castle Rock, CO 80109","$451,900 ",1696 Odyssey Ct,Castle Rock,CO,80109,"2,327",https://www.zillow.com/homedetails/1696-Odyssey-Ct-Castle-Rock-CO-80109/108391741_zpid/
New construction,"Hanford Plan, Blacktail At The Meadows, Castle Rock, CO 80109","$627,950 ","Hanford Plan, Blacktail at The Meadows",Castle Rock,CO,80109,"2,990",https://www.zillow.com/community/blacktail-at-meadows/2078677070_zpid/
New construction,"Plan 1574 Plan, Meadows Villas, Castle Rock, CO 80109","$382,400 ","Plan 1574 Plan, Meadows Villas",Castle Rock,CO,80109,"1,575",https://www.zillow.com/community/meadows-villas/2079733295_zpid/
House for sale,"1401 Colt Cir, Castle Rock, CO 80109","$1,149,000 ",1401 Colt Cir,Castle Rock,CO,80109,"6,349",https://www.zillow.com/homedetails/1401-Colt-Cir-Castle-Rock-CO-80109/13493125_zpid/
New construction,"Delaney Plan, Blacktail At The Meadows, Castle Rock, CO 80109","$577,950 ","Delaney Plan, Blacktail at The Meadows",Castle Rock,CO,80109,"2,370",https://www.zillow.com/community/blacktail-at-meadows/2078677076_zpid/
New construction,"Plan 1763 Plan, Meadows Villas, Castle Rock, CO 80109","$392,400 ","Plan 1763 Plan, Meadows Villas",Castle Rock,CO,80109,"1,762",https://www.zillow.com/community/meadows-villas/2079733290_zpid/
New construction,"Soho Plan, Cityscapes At The Meadows, Castle Rock, CO 80109","$429,950 ","Soho Plan, Cityscapes at The Meadows",Castle Rock,CO,80109,"1,790",https://www.zillow.com/community/cityscapes-at-meadows/2078677128_zpid/
New construction,"Point Plan, Meadows At Stewart Park : The Ridgeline Collection, Castle Rock, CO 80109","$512,900 ","Point Plan, Meadows at Stewart Park : The Ridgeline Collection",Castle Rock,CO,80109,"2,340",https://www.zillow.com/community/meadows-at-stewart-park-ridgeline-collection/2081248380_zpid/
House for sale,"2888 Craig Ct, Castle Rock, CO 80109","$665,000 ",2888 Craig Ct,Castle Rock,CO,80109,"4,374",https://www.zillow.com/homedetails/2888-Craig-Ct-Castle-Rock-CO-80109/108260133_zpid/
New construction,"Greenwich Plan, Cityscapes At The Meadows, Castle Rock, CO 80109","$425,950 ","Greenwich Plan, Cityscapes at The Meadows",Castle Rock,CO,80109,"1,800",https://www.zillow.com/community/cityscapes-at-meadows/2078677129_zpid/
New construction,"Crest Plan, Meadows At Stewart Park : The Ridgeline Collection, Castle Rock, CO 80109","$551,900 ","Crest Plan, Meadows at Stewart Park : The Ridgeline Collection",Castle Rock,CO,80109,"2,853",https://www.zillow.com/community/meadows-at-stewart-park-ridgeline-collection/2081248381_zpid/
New construction,"Prescott Plan, Blacktail At The Meadows, Castle Rock, CO 80109","$638,950 ","Prescott Plan, Blacktail at The Meadows",Castle Rock,CO,80109,"2,520",https://www.zillow.com/community/blacktail-at-meadows/2078677066_zpid/
New construction,"Plan 1928 Modeled Plan, Meadows Villas, Castle Rock, CO 80109","$398,400 ","Plan 1928 Modeled Plan, Meadows Villas",Castle Rock,CO,80109,"1,883",https://www.zillow.com/community/meadows-villas/2079733291_zpid/
House for sale,"3385 Fantasy Pl, Castle Rock, CO 80109","$529,900 ",3385 Fantasy Pl,Castle Rock,CO,80109,"3,725",https://www.zillow.com/homedetails/3385-Fantasy-Pl-Castle-Rock-CO-80109/67415777_zpid/
House for sale,"3323 Gossemer Way, Castle Rock, CO 80109","$634,000 ",3323 Gossemer Way,Castle Rock,CO,80109,"5,159",https://www.zillow.com/homedetails/3323-Gossemer-Way-Castle-Rock-CO-80109/82025736_zpid/
New construction,"Daley Plan, Blacktail At The Meadows, Castle Rock, CO 80109","$635,950 ","Daley Plan, Blacktail at The Meadows",Castle Rock,CO,80109,"3,330",https://www.zillow.com/community/blacktail-at-meadows/2078677072_zpid/
New construction,"Peak Plan, Meadows At Stewart Park : The Ridgeline Collection, Castle Rock, CO 80109","$537,900 ","Peak Plan, Meadows at Stewart Park : The Ridgeline Collection",Castle Rock,CO,80109,"2,515",https://www.zillow.com/community/meadows-at-stewart-park-ridgeline-collection/2081248382_zpid/
House for sale,"2944 Setting Sun Ave, Castle Rock, CO 80109","$609,900 ",2944 Setting Sun Ave,Castle Rock,CO,80109,"3,890",https://www.zillow.com/homedetails/2944-Setting-Sun-Ave-Castle-Rock-CO-80109/121239080_zpid/
New construction,"Plan 1682 Modeled Plan, Meadows Villas, Castle Rock, CO 80109","$385,400 ","Plan 1682 Modeled Plan, Meadows Villas",Castle Rock,CO,80109,"1,673",https://www.zillow.com/community/meadows-villas/2079733288_zpid/
New construction,"3258 Sellman Loop, Castle Rock, CO 80109","$561,000 ",3258 Sellman Loop,Castle Rock,CO,80109,"2,853",https://www.zillow.com/homedetails/3258-Sellman-Loop-Castle-Rock-CO-80109/249983793_zpid/
New construction,"Darius Plan, Blacktail At The Meadows, Castle Rock, CO 80109","$607,950 ","Darius Plan, Blacktail at The Meadows",Castle Rock,CO,80109,"2,870",https://www.zillow.com/community/blacktail-at-meadows/2078677071_zpid/
New construction,"Plan 1443 Plan, Meadows Villas, Castle Rock, CO 80109","$372,400 ","Plan 1443 Plan, Meadows Villas",Castle Rock,CO,80109,"1,443",https://www.zillow.com/community/meadows-villas/2079733293_zpid/
New construction,"Harris Plan, Blacktail At The Meadows, Castle Rock, CO 80109","$632,950 ","Harris Plan, Blacktail at The Meadows",Castle Rock,CO,80109,"2,450",https://www.zillow.com/community/blacktail-at-meadows/2078677075_zpid/
New construction,"Dillon II Plan, Blacktail At The Meadows, Castle Rock, CO 80109","$608,950 ","Dillon II Plan, Blacktail at The Meadows",Castle Rock,CO,80109,"3,210",https://www.zillow.com/community/blacktail-at-meadows/2078677073_zpid/
House for sale,"2385 Robindale Way, Castle Rock, CO 80109","$474,900 ",2385 Robindale Way,Castle Rock,CO,80109,"2,754",https://www.zillow.com/homedetails/2385-Robindale-Way-Castle-Rock-CO-80109/82029283_zpid/
House for sale,"4828 N Bearlily Way, Castle Rock, CO 80109","$500,000 ",4828 N Bearlily Way,Castle Rock,CO,80109,"2,496",https://www.zillow.com/homedetails/4828-N-Bearlily-Way-Castle-Rock-CO-80109/108396694_zpid/
House for sale,"2288 Broadleaf Loop, Castle Rock, CO 80109","$460,000 ",2288 Broadleaf Loop,Castle Rock,CO,80109,"2,429",https://www.zillow.com/homedetails/2288-Broadleaf-Loop-Castle-Rock-CO-80109/82239621_zpid/
New construction,"3518 Corsica Way, Castle Rock, CO 80109","$499,950 ",3518 Corsica Way,Castle Rock,CO,80109,"1,790",https://www.zillow.com/homedetails/3518-Corsica-Way-Castle-Rock-CO-80109/249985581_zpid/
For sale by owner,"1837 Fringe Ct, Castle Rock, CO 80109","$529,000 ",1837 Fringe Ct,Castle Rock,CO,80109,"3,022",https://www.zillow.com/homedetails/1837-Fringe-Ct-Castle-Rock-CO-80109/13490303_zpid/
House for sale,"474 Twin Oaks Rd, Castle Rock, CO 80109","$1,599,000 ",474 Twin Oaks Rd,Castle Rock,CO,80109,"4,006",https://www.zillow.com/homedetails/474-Twin-Oaks-Rd-Castle-Rock-CO-80109/13492802_zpid/
House for sale,"2595 Sweet Wind Ave, Castle Rock, CO 80109","$444,000 ",2595 Sweet Wind Ave,Castle Rock,CO,80109,"2,286",https://www.zillow.com/homedetails/2595-Sweet-Wind-Ave-Castle-Rock-CO-80109/121863436_zpid/
House for sale,"195 Prairie Hawk Dr, Castle Rock, CO 80109","$639,000 ",195 Prairie Hawk Dr,Castle Rock,CO,80109,"4,889",https://www.zillow.com/homedetails/195-Prairie-Hawk-Dr-Castle-Rock-CO-80109/157719482_zpid/
House for sale,"1551 Waverton Ranch Rd, Castle Rock, CO 80109","$2,290,000 ",1551 Waverton Ranch Rd,Castle Rock,CO,80109,"7,400",https://www.zillow.com/homedetails/1551-Waverton-Ranch-Rd-Castle-Rock-CO-80109/2078250738_zpid/
House for sale,"4314 Fell Mist Way, Castle Rock, CO 80109","$645,000 ",4314 Fell Mist Way,Castle Rock,CO,80109,"3,976",https://www.zillow.com/homedetails/4314-Fell-Mist-Way-Castle-Rock-CO-80109/108379764_zpid/
Auction,"3164 W Sugarbowl Ct, Castle Rock, CO 80109",,3164 W Sugarbowl Ct,Castle Rock,CO,80109,"2,312",https://www.zillow.com/homedetails/3164-W-Sugarbowl-Ct-Castle-Rock-CO-80109/13485209_zpid/
House for sale,"4862 N Silverlace Dr, Castle Rock, CO 80109","$469,900 ",4862 N Silverlace Dr,Castle Rock,CO,80109,"2,866",https://www.zillow.com/homedetails/4862-N-Silverlace-Dr-Castle-Rock-CO-80109/13485402_zpid/
House for sale,"3795 Castle Butte Dr, Castle Rock, CO 80109","$1,324,601 ",3795 Castle Butte Dr,Castle Rock,CO,80109,"6,992",https://www.zillow.com/homedetails/3795-Castle-Butte-Dr-Castle-Rock-CO-80109/13493134_zpid/
New construction,"Holbrook Plan, Blacktail At The Meadows, Castle Rock, CO 80109","$637,950 ","Holbrook Plan, Blacktail at The Meadows",Castle Rock,CO,80109,"3,190",https://www.zillow.com/community/blacktail-at-meadows/2078677068_zpid/
New construction,"1465 Gentle Rain Dr, Castle Rock, CO 80109","$874,967 ",1465 Gentle Rain Dr,Castle Rock,CO,80109,"2,870",https://www.zillow.com/homedetails/1465-Gentle-Rain-Dr-Castle-Rock-CO-80109/2078438524_zpid/
House for sale,"3736 Sanguine Cir, Castle Rock, CO 80109","$505,000 ",3736 Sanguine Cir,Castle Rock,CO,80109,"2,200",https://www.zillow.com/homedetails/3736-Sanguine-Cir-Castle-Rock-CO-80109/249984977_zpid/
House for sale,"3551 New Haven Cir, Castle Rock, CO 80109","$482,900 ",3551 New Haven Cir,Castle Rock,CO,80109,"2,815",https://www.zillow.com/homedetails/3551-New-Haven-Cir-Castle-Rock-CO-80109/121862458_zpid/
House for sale,"1641 Bent Grass Cir, Castle Rock, CO 80109","$557,000 ",1641 Bent Grass Cir,Castle Rock,CO,80109,"3,251",https://www.zillow.com/homedetails/1641-Bent-Grass-Cir-Castle-Rock-CO-80109/13490310_zpid/
New construction,"Hampton Plan, Blacktail At The Meadows, Castle Rock, CO 80109","$585,950 ","Hampton Plan, Blacktail at The Meadows",Castle Rock,CO,80109,"2,150",https://www.zillow.com/community/blacktail-at-meadows/2078677067_zpid/
House for sale,"1720 Wild Rye Ct, Castle Rock, CO 80109","$600,000 ",1720 Wild Rye Ct,Castle Rock,CO,80109,"4,777",https://www.zillow.com/homedetails/1720-Wild-Rye-Ct-Castle-Rock-CO-80109/13490336_zpid/
House for sale,"2828 Dreamcatcher Loop, Castle Rock, CO 80109","$515,000 ",2828 Dreamcatcher Loop,Castle Rock,CO,80109,"3,055",https://www.zillow.com/homedetails/2828-Dreamcatcher-Loop-Castle-Rock-CO-80109/108394220_zpid/
House for sale,"3353 Umber Cir, Castle Rock, CO 80109","$574,900 ",3353 Umber Cir,Castle Rock,CO,80109,"3,501",https://www.zillow.com/homedetails/3353-Umber-Cir-Castle-Rock-CO-80109/249984328_zpid/
House for sale,"3445 New Haven Cir, Castle Rock, CO 80109","$501,500 ",3445 New Haven Cir,Castle Rock,CO,80109,"3,020",https://www.zillow.com/homedetails/3445-New-Haven-Cir-Castle-Rock-CO-80109/121863370_zpid/
New construction,"3257 Sellman Loop, Castle Rock, CO 80109","$525,500 ",3257 Sellman Loop,Castle Rock,CO,80109,"2,340",https://www.zillow.com/homedetails/3257-Sellman-Loop-Castle-Rock-CO-80109/249984712_zpid/
House for sale,"1423 Candleglow St, Castle Rock, CO 80109","$590,000 ",1423 Candleglow St,Castle Rock,CO,80109,"4,550",https://www.zillow.com/homedetails/1423-Candleglow-St-Castle-Rock-CO-80109/81770201_zpid/
House for sale,"3304 Dawn Glow Way, Castle Rock, CO 80109","$595,000 ",3304 Dawn Glow Way,Castle Rock,CO,80109,"4,110",https://www.zillow.com/homedetails/3304-Dawn-Glow-Way-Castle-Rock-CO-80109/87811710_zpid/
House for sale,"1801 Promontory Dr, Castle Rock, CO 80109","$1,075,000 ",1801 Promontory Dr,Castle Rock,CO,80109,"4,065",https://www.zillow.com/homedetails/1801-Promontory-Dr-Castle-Rock-CO-80109/13492768_zpid/
House for sale,"1255 Bulrush Dr, Castle Rock, CO 80109","$649,900 ",1255 Bulrush Dr,Castle Rock,CO,80109,"5,250",https://www.zillow.com/homedetails/1255-Bulrush-Dr-Castle-Rock-CO-80109/52461837_zpid/
House for sale,"3920 Sunridge Terrace Dr, Castle Rock, CO 80109","$565,000 ",3920 Sunridge Terrace Dr,Castle Rock,CO,80109,"3,990",https://www.zillow.com/homedetails/3920-Sunridge-Terrace-Dr-Castle-Rock-CO-80109/52460388_zpid/
House for sale,"2205 Stevens Ct, Castle Rock, CO 80109","$1,249,001 ",2205 Stevens Ct,Castle Rock,CO,80109,"6,995",https://www.zillow.com/homedetails/2205-Stevens-Ct-Castle-Rock-CO-80109/82029863_zpid/
New construction,"1504 Gentle Rain Dr, Castle Rock, CO 80109","$735,031 ",1504 Gentle Rain Dr,Castle Rock,CO,80109,"2,870",https://www.zillow.com/homedetails/1504-Gentle-Rain-Dr-Castle-Rock-CO-80109/108385479_zpid/
House for sale,"3406 New Haven Cir, Castle Rock, CO 80109","$499,900 ",3406 New Haven Cir,Castle Rock,CO,80109,"3,272",https://www.zillow.com/homedetails/3406-New-Haven-Cir-Castle-Rock-CO-80109/121864007_zpid/
Pre-foreclosure,"4949 Rock Creek Dr, Castle Rock, CO 80109","$539,312 ",4949 Rock Creek Dr,Castle Rock,CO,80109,"2,654",https://www.zillow.com/homedetails/4949-Rock-Creek-Dr-Castle-Rock-CO-80109/13485880_zpid/
House for sale,"2024 Wood Thrush Way, Castle Rock, CO 80109","$675,000 ",2024 Wood Thrush Way,Castle Rock,CO,80109,"3,514",https://www.zillow.com/homedetails/2024-Wood-Thrush-Way-Castle-Rock-CO-80109/124171271_zpid/
House for sale,"4358 Fell Mist Way, Castle Rock, CO 80109","$699,500 ",4358 Fell Mist Way,Castle Rock,CO,80109,"4,318",https://www.zillow.com/homedetails/4358-Fell-Mist-Way-Castle-Rock-CO-80109/108390960_zpid/
House for sale,"2810 Shadow Dance Dr, Castle Rock, CO 80109","$565,000 ",2810 Shadow Dance Dr,Castle Rock,CO,80109,"4,489",https://www.zillow.com/homedetails/2810-Shadow-Dance-Dr-Castle-Rock-CO-80109/87804648_zpid/
Pre-foreclosure,"1518 Chimney Peak Dr, Castle Rock, CO 80109","$332,295 ",1518 Chimney Peak Dr,Castle Rock,CO,80109,"1,613",https://www.zillow.com/homedetails/1518-Chimney-Peak-Dr-Castle-Rock-CO-80109/55814879_zpid/
Pre-foreclosure,"3280 Blue Grass Cir, Castle Rock, CO 80109","$427,627 ",3280 Blue Grass Cir,Castle Rock,CO,80109,"1,697",https://www.zillow.com/homedetails/3280-Blue-Grass-Cir-Castle-Rock-CO-80109/13484637_zpid/
House for sale,"2530 Castle Butte Dr, Castle Rock, CO 80109","$2,750,000 ",2530 Castle Butte Dr,Castle Rock,CO,80109,"8,442",https://www.zillow.com/homedetails/2530-Castle-Butte-Dr-Castle-Rock-CO-80109/82024025_zpid/
New construction,"Pearl Plan, Bella Mesa, Castle Rock, CO 80104","$439,950 ","Pearl Plan, Bella Mesa",Castle Rock,CO,80104,"2,420",https://www.zillow.com/community/bella-mesa/2078233737_zpid/
New construction,"Ridgeline Plan, Montaine, Castle Rock, CO 80104","$599,900 ","Ridgeline Plan, Montaine",Castle Rock,CO,80104,"3,475",https://www.zillow.com/community/montaine/2078270406_zpid/
New construction,"Hayden Plan, Crystal Valley, Castle Rock, CO 80104","$443,990 ","HAYDEN Plan, Crystal Valley",Castle Rock,CO,80104,"2,738",https://www.zillow.com/community/crystal-valley/2078584244_zpid/
House for sale,"3408 Grey Ct, Castle Rock, CO 80104","$550,000 ",3408 Grey Ct,Castle Rock,CO,80104,"3,975",https://www.zillow.com/homedetails/3408-Grey-Ct-Castle-Rock-CO-80104/82022351_zpid/
New construction,"Peridot Plan, Bella Mesa, Castle Rock, CO 80104","$414,950 ","Peridot Plan, Bella Mesa",Castle Rock,CO,80104,"1,800",https://www.zillow.com/community/bella-mesa/2078233742_zpid/
New construction,"Butte Plan, Montaine, Castle Rock, CO 80104","$537,900 ","Butte Plan, Montaine",Castle Rock,CO,80104,"2,394",https://www.zillow.com/community/montaine/2078270404_zpid/
House for sale,"3952 Heatherglenn Ln, Castle Rock, CO 80104","$519,000 ",3952 Heatherglenn Ln,Castle Rock,CO,80104,"4,386",https://www.zillow.com/homedetails/3952-Heatherglenn-Ln-Castle-Rock-CO-80104/82023859_zpid/
New construction,"Chatham Plan, Crystal Valley Pine Ridge, Castle Rock, CO 80104","$405,990 ","CHATHAM Plan, Crystal Valley Pine Ridge",Castle Rock,CO,80104,"1,774",https://www.zillow.com/community/crystal-valley-pine-ridge/2078661707_zpid/
New construction,"Ponderosa Plan, Cliffrose At Homestead At Crystal Valley, Castle Rock, CO 80104","$562,445 ","Ponderosa Plan, Cliffrose at Homestead at Crystal Valley",Castle Rock,CO,80104,"1,520",https://www.zillow.com/community/cliffrose-at-homestead-at-crystal-valley/2078398051_zpid/
New construction,"Sunstone Plan, Seasons At The Oaks, Castle Rock, CO 80104","$431,950 ","Sunstone Plan, Seasons at The Oaks",Castle Rock,CO,80104,"1,880",https://www.zillow.com/community/seasons-at-oaks/2078671966_zpid/
House for sale,"5347 Gray Wolf Ln, Castle Rock, CO 80104","$419,673 ",5347 Gray Wolf Ln,Castle Rock,CO,80104,"1,800",https://www.zillow.com/homedetails/5347-Gray-Wolf-Ln-Castle-Rock-CO-80104/249985664_zpid/
New construction,"Lapis Plan, The Grove At Crystal Valley, Castle Rock, CO 80104","$421,950 ","Lapis Plan, The Grove at Crystal Valley",Castle Rock,CO,80104,"2,180",https://www.zillow.com/community/grove-at-crystal-valley/2078677057_zpid/
New construction,"Lapis Plan, Bella Mesa, Castle Rock, CO 80104","$427,950 ","Lapis Plan, Bella Mesa",Castle Rock,CO,80104,"2,180",https://www.zillow.com/community/bella-mesa/2078233739_zpid/
House for sale,"600 Darby Ct, Castle Rock, CO 80104","$449,000 ",600 Darby Ct,Castle Rock,CO,80104,"2,991",https://www.zillow.com/homedetails/600-Darby-Ct-Castle-Rock-CO-80104/82026677_zpid/
New construction,"Ammolite Plan, Seasons At The Oaks, Castle Rock, CO 80104","$477,950 ","Ammolite Plan, Seasons at The Oaks",Castle Rock,CO,80104,"3,040",https://www.zillow.com/community/seasons-at-oaks/2077957503_zpid/
New construction,"Galen Plan, Crystal Valley, Castle Rock, CO 80104","$438,990 ","GALEN Plan, Crystal Valley",Castle Rock,CO,80104,"2,566",https://www.zillow.com/community/crystal-valley/2078584241_zpid/
House for sale,"271 N Ridge Rd, Castle Rock, CO 80104","$1,000,000 ",271 N Ridge Rd,Castle Rock,CO,80104,"3,246",https://www.zillow.com/homedetails/271-N-Ridge-Rd-Castle-Rock-CO-80104/147436557_zpid/
New construction,"Hemingway Plan, Carriage Hills At Crystal Valley, Castle Rock, CO 80104","$453,950 ","Hemingway Plan, Carriage Hills at Crystal Valley",Castle Rock,CO,80104,"2,490",https://www.zillow.com/community/carriage-hills-at-crystal-valley/2078677064_zpid/
House for sale,"156 S Quicksilver Ave, Castle Rock, CO 80104","$365,000 ",156 S Quicksilver Ave,Castle Rock,CO,80104,"1,224",https://www.zillow.com/homedetails/156-S-Quicksilver-Ave-Castle-Rock-CO-80104/13495262_zpid/
House for sale,"1136 Halfmoon Dr, Castle Rock, CO 80104","$578,888 ",1136 Halfmoon Dr,Castle Rock,CO,80104,"4,255",https://www.zillow.com/homedetails/1136-Halfmoon-Dr-Castle-Rock-CO-80104/61085570_zpid/
House for sale,"1524 Ebony Dr, Castle Rock, CO 80104","$414,900 ",1524 Ebony Dr,Castle Rock,CO,80104,"2,342",https://www.zillow.com/homedetails/1524-Ebony-Dr-Castle-Rock-CO-80104/13492411_zpid/
House for sale,"211 Las Lunas St, Castle Rock, CO 80104","$444,900 ",211 Las Lunas St,Castle Rock,CO,80104,"3,452",https://www.zillow.com/homedetails/211-Las-Lunas-St-Castle-Rock-CO-80104/13493771_zpid/
House for sale,"3614 Crosshaven Ct, Castle Rock, CO 80104","$700,000 ",3614 Crosshaven Ct,Castle Rock,CO,80104,"4,633",https://www.zillow.com/homedetails/3614-Crosshaven-Ct-Castle-Rock-CO-80104/104465389_zpid/
New construction,"Fallon Plan, Seasons At Cliffrose At Homestead, Castle Rock, CO 80104","$431,950 ","Fallon Plan, Seasons at Cliffrose at Homestead",Castle Rock,CO,80104,"1,980",https://www.zillow.com/community/seasons-at-cliffrose-at-homestead/2078677077_zpid/
New construction,"Herring Plan, Crystal Valley, Castle Rock, CO 80104","$447,990 ","HERRING Plan, Crystal Valley",Castle Rock,CO,80104,"2,716",https://www.zillow.com/community/crystal-valley/2078584240_zpid/
Townhouse for sale,"2959 Newport Cir, Castle Rock, CO 80104","$460,000 ",2959 Newport Cir,Castle Rock,CO,80104,"2,772",https://www.zillow.com/homedetails/2959-Newport-Cir-Castle-Rock-CO-80104/55815031_zpid/
New construction,"Amethyst Plan, Seasons At The Oaks, Castle Rock, CO 80104","$400,950 ","Amethyst Plan, Seasons at The Oaks",Castle Rock,CO,80104,"1,420",https://www.zillow.com/community/seasons-at-oaks/2078671965_zpid/
New construction,"4556 Rapport Dr, Castle Rock, CO 80104","$470,752 ",4556 Rapport Dr,Castle Rock,CO,80104,"2,180",https://www.zillow.com/homedetails/4556-Rapport-Dr-Castle-Rock-CO-80104/123457379_zpid/
New construction,"Seth Plan, Cliffrose At Homestead At Crystal Valley, Castle Rock, CO 80104","$492,950 ","Seth Plan, Cliffrose at Homestead at Crystal Valley",Castle Rock,CO,80104,"3,000",https://www.zillow.com/community/cliffrose-at-homestead-at-crystal-valley/2078677094_zpid/
New construction,"Hemingway Plan, The Grove At Crystal Valley, Castle Rock, CO 80104","$460,950 ","Hemingway Plan, The Grove at Crystal Valley",Castle Rock,CO,80104,"2,490",https://www.zillow.com/community/grove-at-crystal-valley/2078677059_zpid/
New construction,"Castlewood Plan, Montaine, Castle Rock, CO 80104","$552,900 ","Castlewood Plan, Montaine",Castle Rock,CO,80104,"2,952",https://www.zillow.com/community/montaine/2078270405_zpid/
For sale by owner,"5044 Eckert St, Castle Rock, CO 80104","$454,950 ",5044 Eckert St,Castle Rock,CO,80104,"1,384",https://www.zillow.com/homedetails/5044-Eckert-St-Castle-Rock-CO-80104/52462603_zpid/
New construction,"Newcastle Plan, Crystal Valley Pine Ridge, Castle Rock, CO 80104","$396,990 ","NEWCASTLE Plan, Crystal Valley Pine Ridge",Castle Rock,CO,80104,"1,635",https://www.zillow.com/community/crystal-valley-pine-ridge/2078661704_zpid/
New construction,"Seth Plan, Carriage Hills At Crystal Valley, Castle Rock, CO 80104","$482,950 ","Seth Plan, Carriage Hills at Crystal Valley",Castle Rock,CO,80104,"3,000",https://www.zillow.com/community/carriage-hills-at-crystal-valley/2078677063_zpid/
New construction,"Alexandrite Plan, Seasons At The Oaks, Castle Rock, CO 80104","$423,950 ","Alexandrite Plan, Seasons at The Oaks",Castle Rock,CO,80104,"1,740",https://www.zillow.com/community/seasons-at-oaks/2078671967_zpid/
House for sale,"2360 Oak Vista Ct, Castle Rock, CO 80104","$1,275,000 ",2360 Oak Vista Ct,Castle Rock,CO,80104,"6,366",https://www.zillow.com/homedetails/2360-Oak-Vista-Ct-Castle-Rock-CO-80104/55814520_zpid/
House for sale,"2517 Innisbrook Ct, Castle Rock, CO 80104","$649,000 ",2517 Innisbrook Ct,Castle Rock,CO,80104,"4,041",https://www.zillow.com/homedetails/2517-Innisbrook-Ct-Castle-Rock-CO-80104/13492497_zpid/
New construction,"Coming Soon Plan, Sunstone Village At Terrain, Castle Rock, CO 80104",,"Coming Soon Plan, Sunstone Village at Terrain",Castle Rock,CO,80104,,https://www.zillow.com/community/sunstone-village-at-terrain/2078748369_zpid/
New construction,"Citrine Plan, The Grove At Crystal Valley, Castle Rock, CO 80104","$413,950 ","Citrine Plan, The Grove at Crystal Valley",Castle Rock,CO,80104,"1,960",https://www.zillow.com/community/grove-at-crystal-valley/2078677056_zpid/
New construction,"Onyx Plan, Bella Mesa, Castle Rock, CO 80104","$404,950 ","Onyx Plan, Bella Mesa",Castle Rock,CO,80104,"1,580",https://www.zillow.com/community/bella-mesa/2078233735_zpid/
New construction,"Lapis Plan, Seasons At Cliffrose At Homestead, Castle Rock, CO 80104","$409,950 ","Lapis Plan, Seasons at Cliffrose at Homestead",Castle Rock,CO,80104,"2,180",https://www.zillow.com/community/seasons-at-cliffrose-at-homestead/2078677084_zpid/
House for sale,"3133 Bittern St, Castle Rock, CO 80104","$520,000 ",3133 Bittern St,Castle Rock,CO,80104,"3,226",https://www.zillow.com/homedetails/3133-Bittern-St-Castle-Rock-CO-80104/242033432_zpid/
