House status,Name,Price,Street Address,Locality,Region,PostalCode,Size,Href
New construction,"Dayton Plan, Timbers At The Pinery, Parker, CO 80134","$804,950 ","Dayton Plan, Timbers at the Pinery",Parker,CO,80134,"3,950",https://www.zillow.com/community/timbers-at-pinery/2078676589_zpid/
New construction,"Residence 2b Plan, The Trails At Westcreek, Parker, CO 80134","$329,990 ","Residence 2B Plan, The Trails at Westcreek",Parker,CO,80134,"1,203",https://www.zillow.com/community/trails-at-westcreek/2079533998_zpid/
Condo for sale,"9461 Ashbury Cir Apt 204, Parker, CO 80134","$280,000 ",9461 Ashbury Cir APT 204,Parker,CO,80134,"1,206",https://www.zillow.com/homedetails/9461-Ashbury-Cir-APT-204-Parker-CO-80134/72298726_zpid/
New construction,"Plan 2390 Modeled Plan, Stone Creek Ranch, Parker, CO 80134","$447,495 ","Plan 2390 Modeled Plan, Stone Creek Ranch",Parker,CO,80134,"2,396",https://www.zillow.com/community/stone-creek-ranch/2079733373_zpid/
New construction,"Daley Plan, Reata Ridge, Parker, CO 80134","$611,950 ","Daley Plan, Reata Ridge",Parker,CO,80134,"3,460",https://www.zillow.com/community/reata-ridge/2078676691_zpid/
House for sale,"17114 E Cedar Gulch Dr, Parker, CO 80134","$470,000 ",17114 E Cedar Gulch Dr,Parker,CO,80134,"2,969",https://www.zillow.com/homedetails/17114-E-Cedar-Gulch-Dr-Parker-CO-80134/118269085_zpid/
House for sale,"16795 Trail Sky Cir, Parker, CO 80134","$598,000 ",16795 Trail Sky Cir,Parker,CO,80134,"2,966",https://www.zillow.com/homedetails/16795-Trail-Sky-Cir-Parker-CO-80134/67450610_zpid/
New construction,"Hemingway Plan, Stone Creek Ranch, Parker, CO 80134","$504,950 ","Hemingway Plan, Stone Creek Ranch",Parker,CO,80134,"2,520",https://www.zillow.com/community/stone-creek-ranch/2078676572_zpid/
New construction,"Crestone (Residence 49204) Plan, Anthology, Parker, CO 80134","$589,990 ","Crestone (Residence 49204) Plan, Anthology",Parker,CO,80134,"3,181",https://www.zillow.com/community/anthology/2080665074_zpid/
House for sale,"5379 Pinyon Jay Rd, Parker, CO 80134","$890,000 ",5379 Pinyon Jay Rd,Parker,CO,80134,"5,714",https://www.zillow.com/homedetails/5379-Pinyon-Jay-Rd-Parker-CO-80134/13480277_zpid/
House for sale,"17040 Motsenbocker Way, Parker, CO 80134","$425,000 ",17040 Motsenbocker Way,Parker,CO,80134,"2,102",https://www.zillow.com/homedetails/17040-Motsenbocker-Way-Parker-CO-80134/13470640_zpid/
New construction,"Signature Series Plan One Plan, Pradera, Parker, CO 80134","$704,950 ","Signature Series Plan One Plan, Pradera",Parker,CO,80134,"2,598",https://www.zillow.com/community/pradera/2081380499_zpid/
New construction,"Daniel Plan, Reata Ridge, Parker, CO 80134","$550,950 ","Daniel Plan, Reata Ridge",Parker,CO,80134,"2,320",https://www.zillow.com/community/reata-ridge/2078676689_zpid/
New construction,"Residence 2a Plan, The Trails At Westcreek, Parker, CO 80134","$319,990 ","Residence 2A Plan, The Trails at Westcreek",Parker,CO,80134,"1,147",https://www.zillow.com/community/trails-at-westcreek/2079533999_zpid/
New construction,"Silverthorne Plan, Stone Creek Ranch, Parker, CO 80134","$500,990 ","Silverthorne Plan, Stone Creek Ranch",Parker,CO,80134,"2,757",https://www.zillow.com/community/stone-creek-ranch/2082165369_zpid/
New construction,"The Waterton Plan, Meadowlark, Parker, CO 80134","$496,990 ","The Waterton Plan, Meadowlark",Parker,CO,80134,"2,666",https://www.zillow.com/community/meadowlark/2078394155_zpid/
New construction,"Plan 1818 Modeled Plan, Stone Creek Ranch, Parker, CO 80134","$421,495 ","Plan 1818 Modeled Plan, Stone Creek Ranch",Parker,CO,80134,"1,860",https://www.zillow.com/community/stone-creek-ranch/2079733368_zpid/
New construction,"The Nederland Plan, Senderos Creek: The Town Collection, Parker, CO 80134","$438,990 ","The Nederland Plan, Senderos Creek: The Town Collection",Parker,CO,80134,"2,014",https://www.zillow.com/community/senderos-creek-town-collection/2082278695_zpid/
New construction,"Darius Plan, Stone Creek Ranch, Parker, CO 80134","$563,950 ","Darius Plan, Stone Creek Ranch",Parker,CO,80134,"2,870",https://www.zillow.com/community/stone-creek-ranch/2078676579_zpid/
New construction,"Daley Plan, Timbers At The Pinery, Parker, CO 80134","$794,950 ","Daley Plan, Timbers at the Pinery",Parker,CO,80134,"3,330",https://www.zillow.com/community/timbers-at-pinery/2078676592_zpid/
New construction,"Granby Plan, Alder Village, Parker, CO 80134","$439,990 ","Granby Plan, Alder Village",Parker,CO,80134,"2,017",https://www.zillow.com/community/alder-village/2082920296_zpid/
New construction,"Willow (Residence 34101) Plan, Anthology, Parker, CO 80134","$424,990 ","Willow (Residence 34101) Plan, Anthology",Parker,CO,80134,"1,756",https://www.zillow.com/community/anthology/2080665073_zpid/
House for sale,"8749 Eagle Moon Way, Parker, CO 80134","$2,150,000 ",8749 Eagle Moon Way,Parker,CO,80134,"7,712",https://www.zillow.com/homedetails/8749-Eagle-Moon-Way-Parker-CO-80134/82028531_zpid/
New construction,"The Clear Creek Plan, Meadowlark, Parker, CO 80134","$506,990 ","The Clear Creek Plan, Meadowlark",Parker,CO,80134,"2,820",https://www.zillow.com/community/meadowlark/2078394156_zpid/
New construction,"Evergreen Plan, Luxury Townhomes At Pine Bluffs, Parker, CO 80134","$404,900 ","Evergreen Plan, Luxury Townhomes at Pine Bluffs",Parker,CO,80134,"2,009",https://www.zillow.com/community/luxury-townhomes-at-pine-bluffs/2085707258_zpid/
New construction,"Plan 1590 Plan, Stone Creek Ranch, Parker, CO 80134","$407,495 ","Plan 1590 Plan, Stone Creek Ranch",Parker,CO,80134,"1,590",https://www.zillow.com/community/stone-creek-ranch/2079733370_zpid/
New construction,"European Hillside Bordeaux Plan, Pradera, Parker, CO 80134","$1,091,950 ","European Hillside Bordeaux Plan, Pradera",Parker,CO,80134,"3,757",https://www.zillow.com/community/pradera/2081380501_zpid/
New construction,"Vail (Residence 39208) Plan, Anthology, Parker, CO 80134","$485,990 ","Vail (Residence 39208) Plan, Anthology",Parker,CO,80134,"2,446",https://www.zillow.com/community/anthology/2080665076_zpid/
New construction,"Cortez Plan, Stone Creek Ranch, Parker, CO 80134","$474,990 ","Cortez Plan, Stone Creek Ranch",Parker,CO,80134,"2,264",https://www.zillow.com/community/stone-creek-ranch/2082165373_zpid/
New construction,"The Castlewood Plan, Senderos Creek: The Canyon Collection, Parker, CO 80134","$518,990 ","The Castlewood Plan, Senderos Creek: The Canyon Collection",Parker,CO,80134,"2,422",https://www.zillow.com/community/senderos-creek-canyon-collection/2086300380_zpid/
New construction,"Coronado Plan, Stone Creek Ranch, Parker, CO 80134","$507,950 ","Coronado Plan, Stone Creek Ranch",Parker,CO,80134,"2,740",https://www.zillow.com/community/stone-creek-ranch/2078676576_zpid/
New construction,"The Buena Vista Plan, Senderos Creek: The Town Collection, Parker, CO 80134","$403,990 ","The Buena Vista Plan, Senderos Creek: The Town Collection",Parker,CO,80134,"1,620",https://www.zillow.com/community/senderos-creek-town-collection/2082278692_zpid/
New construction,"Residence Three Plan, The Timbers At The Pinery By Berkeley Homes, Parker, CO 80134","$804,900 ","Residence Three Plan, The Timbers at the Pinery by Berkeley Homes",Parker,CO,80134,"3,111",https://www.zillow.com/community/timbers-at-pinery-by-berkeley-homes/2087743569_zpid/
New construction,"European Hillside Spazio Plan, Pradera, Parker, CO 80134","$1,167,950 ","European Hillside Spazio Plan, Pradera",Parker,CO,80134,"4,182",https://www.zillow.com/community/pradera/2081380496_zpid/
New construction,"Harmon Plan, Timbers At The Pinery, Parker, CO 80134","$849,950 ","Harmon Plan, Timbers at the Pinery",Parker,CO,80134,"4,390",https://www.zillow.com/community/timbers-at-pinery/2078676586_zpid/
New construction,"Plan 2651 Plan, Stone Creek Ranch, Parker, CO 80134","$452,495 ","Plan 2651 Plan, Stone Creek Ranch",Parker,CO,80134,"2,655",https://www.zillow.com/community/stone-creek-ranch/2079687140_zpid/
New construction,"Estes Plan, Alder Village, Parker, CO 80134","$417,990 ","Estes Plan, Alder Village",Parker,CO,80134,"1,534",https://www.zillow.com/community/alder-village/2082920294_zpid/
